EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:55:30	0	0.1000	1.0732601748550414	0.7428959608078003	0.5	0.0002	0.0003	0.0002
2	11:59:35	0	0.1000	0.588596610971061	0.46429184079170227	0.5146	0.2316	0.3194	0.2137
3	12:03:35	0	0.1000	0.4366692159476043	0.3255351483821869	0.6171	0.3795	0.47	0.347
4	12:07:35	0	0.1000	0.3280158113036118	0.2243255078792572	0.766	0.5806	0.6605	0.5408
5	12:11:41	0	0.1000	0.2522708721605998	0.16147226095199585	0.8229	0.7001	0.7566	0.6555
6	12:15:40	0	0.1000	0.20677260914257303	0.13625530898571014	0.824	0.7321	0.7753	0.6821
7	12:19:45	0	0.1000	0.17812327538120382	0.11437296122312546	0.7648	0.7881	0.7763	0.6984
8	12:23:50	0	0.1000	0.15718429566403974	0.10633306205272675	0.859	0.7955	0.826	0.7503
9	12:27:56	0	0.1000	0.1426248964690207	0.09562128782272339	0.8552	0.8009	0.8271	0.7605
10	12:31:57	1	0.1000	0.13221086600784543	0.09027714282274246	0.846	0.8073	0.8262	0.7665
11	12:35:59	0	0.1000	0.12558398722440717	0.08037637919187546	0.8255	0.8598	0.8423	0.7753
12	12:40:05	0	0.1000	0.11784450233796502	0.07776331901550293	0.8282	0.8591	0.8434	0.7782
13	12:44:11	0	0.1000	0.1130869169600901	0.07669836282730103	0.8658	0.8423	0.8539	0.8013
14	12:48:11	0	0.1000	0.10831504533875384	0.07298795878887177	0.8739	0.8499	0.8617	0.807
15	12:52:15	0	0.1000	0.10512594640847873	0.0694248303771019	0.8707	0.8773	0.874	0.8233
16	12:56:19	0	0.1000	0.10206206031077857	0.06679612398147583	0.8918	0.8613	0.8763	0.8209
17	13:00:19	0	0.1000	0.09943914606925719	0.06398410350084305	0.8874	0.8699	0.8786	0.8301
18	13:04:26	1	0.1000	0.09641588480830186	0.06479258835315704	0.8763	0.8654	0.8708	0.8221
19	13:08:31	0	0.1000	0.09383323025237646	0.06298565864562988	0.8914	0.8691	0.8801	0.834
20	13:12:37	0	0.1000	0.09126605163353262	0.059577826410532	0.8845	0.8869	0.8857	0.8378
21	13:16:39	0	0.1000	0.09050920254019885	0.058647241443395615	0.8948	0.879	0.8868	0.8369
22	13:20:46	1	0.1000	0.08814273600539752	0.058686498552560806	0.8866	0.8846	0.8856	0.8402
23	13:24:51	2	0.1000	0.08684086351181768	0.057280831038951874	0.892	0.8743	0.8831	0.8378
24	13:28:56	0	0.1000	0.0841944685870396	0.05477217584848404	0.8958	0.8931	0.8945	0.8499
25	13:32:57	1	0.1000	0.08251227310329554	0.054695580154657364	0.9	0.8834	0.8916	0.848
26	13:37:02	2	0.1000	0.0819437846083929	0.05323217436671257	0.896	0.8918	0.8939	0.8519
27	13:41:07	0	0.1000	0.07977281270040326	0.051389940083026886	0.8981	0.8943	0.8962	0.8535
28	13:45:07	0	0.1000	0.07909074259435302	0.05161065235733986	0.903	0.8913	0.8971	0.8539
29	13:49:12	0	0.1000	0.07763563073656707	0.04929245263338089	0.906	0.8973	0.9017	0.8599
30	13:53:19	1	0.1000	0.07634880620213752	0.05130258575081825	0.8996	0.8999	0.8997	0.8579
31	13:57:23	0	0.1000	0.07453293032355268	0.04857129603624344	0.9062	0.8995	0.9029	0.8622
32	14:01:24	1	0.1000	0.07407857600843466	0.04971874877810478	0.9147	0.8911	0.9027	0.8624
33	14:05:27	2	0.1000	0.0744240493839219	0.048381004482507706	0.9088	0.896	0.9024	0.8615
34	14:09:31	3	0.1000	0.07263762131577702	0.048093002289533615	0.9099	0.8957	0.9027	0.8631
35	14:13:35	0	0.0500	0.06848177172833943	0.044758643954992294	0.9157	0.9064	0.911	0.8718
36	14:17:35	0	0.0500	0.06781801208649736	0.04489913582801819	0.9175	0.9061	0.9118	0.873
37	14:21:41	0	0.0500	0.06663596874890786	0.044439200311899185	0.9162	0.9084	0.9123	0.8728
38	14:25:45	1	0.0500	0.06676093186864182	0.04433612525463104	0.9126	0.9049	0.9087	0.8701
39	14:29:42	2	0.0500	0.06666169271439241	0.04445293918251991	0.9199	0.9041	0.9119	0.8731
40	14:33:44	0	0.0500	0.06575000429961934	0.043852515518665314	0.918	0.9083	0.9131	0.875
41	14:37:49	0	0.0500	0.06481923213159448	0.04341802000999451	0.9195	0.9071	0.9132	0.8753
42	14:41:53	1	0.0500	0.06481837050715003	0.0434066541492939	0.9166	0.9096	0.9131	0.8757
43	14:45:50	2	0.0500	0.06402463896301336	0.043214861303567886	0.9149	0.9115	0.9132	0.8755
44	14:49:52	0	0.0500	0.06376012604524493	0.04371286928653717	0.9167	0.9106	0.9136	0.8773
45	14:53:57	0	0.0500	0.06349376729550463	0.04215390980243683	0.9239	0.911	0.9174	0.8804
46	14:58:01	0	0.0500	0.06311127140800409	0.042272381484508514	0.9216	0.9137	0.9176	0.8812
47	15:02:02	1	0.0500	0.062042916262710926	0.04281727224588394	0.9196	0.91	0.9147	0.8778
48	15:06:06	2	0.0500	0.06196608229640359	0.04229950159788132	0.9184	0.9113	0.9149	0.8782
49	15:10:09	3	0.0500	0.061271547333104553	0.04112478345632553	0.9207	0.9111	0.9159	0.878
50	15:14:07	1	0.0250	0.06110585474405204	0.04119415581226349	0.9188	0.9123	0.9156	0.879
51	15:18:10	0	0.0250	0.05989612026592542	0.04085492715239525	0.9224	0.9138	0.9181	0.8818
52	15:22:16	1	0.0250	0.060433466398694916	0.040585797280073166	0.9217	0.9133	0.9175	0.8814
53	15:26:19	0	0.0250	0.06012707210853348	0.04058104380965233	0.9232	0.9148	0.919	0.8829
54	15:30:19	1	0.0250	0.0600891824215893	0.04051977023482323	0.9223	0.9152	0.9187	0.8822
55	15:34:21	2	0.0250	0.05881363594412695	0.04108239710330963	0.9213	0.9143	0.9178	0.8818
56	15:38:24	0	0.0250	0.0589708725442683	0.04060981795191765	0.9236	0.9152	0.9194	0.8835
57	15:42:30	0	0.0250	0.059247493434818534	0.04030768200755119	0.9236	0.9152	0.9194	0.8837
58	15:46:28	0	0.0250	0.058938743907937276	0.039890315383672714	0.9249	0.9159	0.9203	0.8852
59	15:50:44	1	0.0250	0.058449279577662536	0.04078107327222824	0.9204	0.9125	0.9164	0.8805
60	15:55:37	2	0.0250	0.05879504907750481	0.040115345269441605	0.9218	0.916	0.9189	0.8842
61	15:59:34	0	0.0250	0.05795688092960117	0.03990147262811661	0.9263	0.9164	0.9213	0.8867
62	16:03:38	1	0.0250	0.05827761336617669	0.03972163423895836	0.9239	0.9174	0.9206	0.8862
63	16:07:40	2	0.0250	0.05704409818328829	0.03961527720093727	0.9246	0.916	0.9203	0.8852
64	16:11:42	3	0.0250	0.056901335421239575	0.039331965148448944	0.9257	0.9169	0.9213	0.8861
